Witness,CPA-w2t,CPAchecker,FShell-w2t,MetaVal,NITWIT,Symb.-Witch,Ult. Auto.
258,0,0,0,2,0,0,0
259,0,0,0,2,0,0,0
260,1,0,2,2,0,0,0
261,1,0,2,2,0,0,0
262,0,0,0,2,0,0,0
263,1,2,2,2,1,3,3
264,0,0,0,2,0,0,0
265,0,0,0,2,0,0,0
266,1,2,2,2,1,3,3
267,0,0,0,2,0,0,0
268,0,0,0,2,0,0,0
269,0,0,0,2,0,0,0
270,0,0,0,2,0,0,0
271,0,0,0,2,0,0,0
272,0,0,0,2,0,0,0
273,0,0,0,2,0,0,0
274,0,0,0,2,0,0,0
275,1,2,2,2,0,3,3
276,1,2,2,2,0,3,3
277,1,2,2,2,0,3,3
278,0,0,0,2,0,0,0
279,0,0,0,2,0,0,0
280,0,0,0,2,0,0,0
281,0,0,0,2,0,0,0
282,0,0,0,2,0,0,0
283,1,0,2,2,0,0,0
284,0,0,0,2,0,0,0
285,1,0,2,2,0,0,0
286,0,0,0,2,0,0,0
287,0,0,0,2,0,0,0
288,0,0,0,2,0,0,0
289,0,0,0,2,0,0,0
290,0,0,0,2,0,0,0
291,0,0,0,2,0,0,0
292,0,0,0,2,0,0,0
293,0,0,0,2,0,0,0
294,0,0,0,2,0,0,0
295,0,0,0,2,0,0,0
296,0,0,0,2,0,0,0
297,0,0,0,2,0,0,0
298,0,0,0,2,0,0,0
299,0,0,0,2,0,0,0
300,0,0,0,2,0,0,0
301,0,0,0,2,0,0,0
302,0,0,0,2,0,0,0
303,0,0,0,2,0,0,0
304,0,0,0,2,0,0,0
305,0,0,0,2,0,0,0
306,1,2,2,2,0,3,3
307,1,2,2,2,0,3,3
308,1,2,2,2,0,3,3
309,1,2,2,2,0,3,3
310,1,2,2,2,0,3,3
311,0,0,0,2,0,0,0
312,1,0,2,2,0,0,0
313,0,0,0,2,0,0,0
314,1,2,2,2,0,3,3
315,0,0,0,2,0,0,0
316,0,0,0,2,0,0,0
317,1,2,2,2,0,3,3
318,1,3,2,4,1,0,2
319,1,2,0,3,1,1,2
320,1,2,0,3,1,1,2
321,1,2,0,3,1,3,2
322,1,2,0,3,1,3,2
323,1,3,2,4,1,3,3
324,1,2,2,4,0,0,2
325,1,2,2,4,0,0,2
326,1,2,2,4,0,0,2
327,1,2,2,4,0,0,2
328,1,2,2,4,0,0,2
329,1,2,2,4,0,0,2
330,1,2,2,4,1,3,2
331,1,2,2,4,0,0,2
332,1,2,2,4,0,0,2
333,1,2,2,4,0,0,2
334,1,2,2,4,0,0,2
335,1,2,2,4,0,0,2
336,1,2,2,4,0,0,2
337,1,2,2,4,0,0,2
338,1,2,2,4,0,0,2
339,1,2,2,4,0,0,2
340,1,2,2,4,0,0,2
341,1,2,2,4,0,0,2
342,1,2,2,4,0,0,2
343,1,2,2,4,0,0,2
344,1,2,2,4,0,3,2
345,1,2,2,4,0,0,2
346,1,2,2,4,0,0,2
347,1,2,2,4,0,0,2
348,1,2,2,4,0,0,2
349,1,2,2,4,0,0,2
350,1,2,2,4,0,0,2
351,1,2,2,4,0,0,2
352,1,2,2,4,0,0,2
353,1,2,2,4,0,0,2
354,1,2,2,4,0,0,2
355,1,2,2,4,0,0,2
356,1,2,2,4,0,0,2
357,1,2,2,4,0,0,2
358,1,2,2,4,0,0,2
359,1,2,2,4,0,0,2
360,1,2,2,4,0,0,2
361,1,2,2,4,0,0,2
362,1,2,2,4,0,0,2
363,1,2,2,4,0,0,2
364,1,2,2,4,0,0,2
365,1,2,2,4,0,0,2
366,1,2,2,4,0,0,2
367,1,2,2,4,0,0,2
368,1,2,2,4,0,0,2
